"M_056_a_AOB_S14_L001_trim_filt_F.fastq.gz"	"M_056_b_AOB_S62_L001_trim_filt_F.fastq.gz"	"M_056_c_AOB_S55_L001_trim_filt_F.fastq.gz"	"M_18_a_AOB_S58_L001_trim_filt_F.fastq.gz"	"M_18_b_AOB_S42_L001_trim_filt_F.fastq.gz"	"M_18_c_AOB_S47_L001_trim_filt_F.fastq.gz"	"M_25_a_AOB_S8_L001_trim_filt_F.fastq.gz"	"M_25_b_AOB_S24_L001_trim_filt_F.fastq.gz"	"M_25_c_AOB_S4_L001_trim_filt_F.fastq.gz"	"M_5_a_AOB_S52_L001_trim_filt_F.fastq.gz"	"M_5_b_AOB_S15_L001_trim_filt_F.fastq.gz"	"M_5_c_AOB_S10_L001_trim_filt_F.fastq.gz"	"M1_a_AOB_S34_L001_trim_filt_F.fastq.gz"	"M1_b_AOB_S5_L001_trim_filt_F.fastq.gz"	"M1_c_AOB_S17_L001_trim_filt_F.fastq.gz"	"M2_a_AOB_S46_L001_trim_filt_F.fastq.gz"	"M2_b_AOB_S68_L001_trim_filt_F.fastq.gz"	"M2_c_AOB_S32_L001_trim_filt_F.fastq.gz"	"Mmin_a_AOB_S11_L001_trim_filt_F.fastq.gz"	"Mmin_b_AOB_S39_L001_trim_filt_F.fastq.gz"	"Mmin_c_AOB_S1_L001_trim_filt_F.fastq.gz"	"S_056_a_AOB_S35_L001_trim_filt_F.fastq.gz"	"S_056_b_AOB_S20_L001_trim_filt_F.fastq.gz"	"S_056_c_AOB_S19_L001_trim_filt_F.fastq.gz"	"S_18_a_AOB_S3_L001_trim_filt_F.fastq.gz"	"S_18_b_AOB_S25_L001_trim_filt_F.fastq.gz"	"S_18_c_AOB_S69_L001_trim_filt_F.fastq.gz"	"S_25_a_AOB_S27_L001_trim_filt_F.fastq.gz"	"S_25_b_AOB_S80_L001_trim_filt_F.fastq.gz"	"S_25_c_AOB_S79_L001_trim_filt_F.fastq.gz"	"S_5_a_AOB_S22_L001_trim_filt_F.fastq.gz"	"S_5_b_AOB_S13_L001_trim_filt_F.fastq.gz"	"S_5_c_AOB_S56_L001_trim_filt_F.fastq.gz"	"S1_a_AOB_S67_L001_trim_filt_F.fastq.gz"	"S1_b_AOB_S45_L001_trim_filt_F.fastq.gz"	"S1_c_AOB_S78_L001_trim_filt_F.fastq.gz"	"S2_a_AOB_S48_L001_trim_filt_F.fastq.gz"	"S2_b_AOB_S44_L001_trim_filt_F.fastq.gz"	"S2_c_AOB_S30_L001_trim_filt_F.fastq.gz"	"Smin_a_AOB_S41_L001_trim_filt_F.fastq.gz"	"Smin_b_AOB_S21_L001_trim_filt_F.fastq.gz"	"Smin_c_AOB_S61_L001_trim_filt_F.fastq.gz"
"ASV208"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	145	0	0	118	103	134	137	93	186	0	0	0	139	0
"ASV209"	917	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	45	0	6	93	3	6	4	11	0	3	9
"ASV210"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	11	25	0	206	0	0	144	20	0	136	0	38	124	16	244	0	50	0	0	0
"ASV211"	127	0	364	164	0	0	0	0	79	0	0	0	0	0	117	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV212"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	213	0	149	0	217	0	0	128	0	83	119	118	0	0
"ASV213"	0	0	0	0	129	0	0	0	0	0	731	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV214"	72	248	0	0	0	0	0	0	0	235	0	181	118	0	0	107	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV215"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	150	60	0	95	15	0	20	66	37	132	0	26	0	21	23	27	62	37	253
"ASV216"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	67	0	0	0	0	0	0	35	127	0	41	91	329	0	0	69	100	0	0	0
"ASV217"	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	344	0	0	0	0	0	0	44	0	28	0	93	0	25	62	0	0	0	135	0	0	24	249	0	26	0
"ASV218"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	45	130	65	27	0	0	56	0	0
"ASV219"	0	0	105	0	148	0	0	0	160	0	0	72	136	0	136	170	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV220"	0	0	0	0	0	0	0	0	0	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0
"ASV221"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	440	0	295	0	0	0	0	0	0	0	0	164	0
"ASV222"	48	40	0	22	0	70	0	68	20	39	0	78	61	59	58	91	197	147	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV223"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	207	0	0	0	0	0	82	0	48	0	0	0	86	0	0	0	134	13	0	0	0	187	248	0	0	0
"ASV224"	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	79	0	77	0	103	34	0	0	80	0	0	57	0	61	25	0	0	97	203
"ASV225"	0	0	164	81	0	0	0	0	0	80	0	0	92	124	199	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	46
"ASV226"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	39	54	21	66	28	0	16	86	0	19	122	0	87	139	0	75	11	99	36	16
"ASV227"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	0	0	0	319	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	101
"ASV228"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	108	0	0	131	0	0	0	0	0	0	0	0	0	0	192	57	150	120	106
"ASV229"	0	0	82	0	36	0	0	88	0	0	0	145	38	0	0	65	99	0	0	73	0	134	47	0	0	32	0	0	0	0	21	32	0	0	0	25	0	0	0	0	0	0
"ASV230"	0	0	0	3	0	0	0	0	2	0	0	0	161	170	0	0	0	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV231"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	71	0	0	0	69	75	95	0	0	0	214	0	2	62	0	62	47	135
"ASV232"	0	0	0	0	82	0	269	0	0	0	0	0	0	0	179	0	63	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	75	0	43	0	0	0	0	133	0	0
"ASV233"	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	62	78	0	0	0	0	0	24	0	1	2	0	0	0	14
"ASV234"	0	71	0	0	0	0	0	0	0	0	0	0	41	13	309	0	106	244	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV235"	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	87	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV236"	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	60	0	113	309	0	0	0	0	0	54	0	0	0	87	0	0	55	0	0	0
"ASV237"	3	4	0	1	0	129	49	0	0	0	78	85	365	1	0	133	2	29	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV238"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	125	0	0	0	0	0	127	0	0	180	120	0	180	0	0	0	0
"ASV239"	0	375	0	0	0	0	0	0	0	0	0	0	0	0	360	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0
"ASV240"	0	0	1	0	0	0	0	0	0	824	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV241"	0	0	0	0	54	0	69	0	0	0	0	269	126	76	0	0	149	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV242"	56	0	1	0	0	0	71	0	40	101	0	0	0	0	0	0	0	253	0	110	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV243"	0	0	162	0	0	0	57	0	0	0	0	73	0	85	107	0	44	0	0	77	0	15	0	94	0	1	0	0	0	0	0	0	0	3	0	4	27	55	48	0	0	0
"ASV244"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	150	24	0	92	0	47	25	48	0	48	0	89	103	132	38	0	0	0	0
"ASV245"	0	0	49	0	0	0	0	116	0	0	88	109	0	0	0	0	82	66	83	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0
"ASV246"	145	0	0	0	0	0	0	0	165	0	62	0	160	0	0	92	0	0	86	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV247"	0	0	231	0	0	0	0	0	155	0	226	87	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV248"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	269	0	0	0	0	184	0	113	0	0	0	0	0	64
"ASV249"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	275	0	158	0	0	0	0	67	77	70	0	0	0	82	0	0
"ASV250"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	113	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV251"	0	0	0	0	0	0	0	55	220	0	0	0	0	0	0	194	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV252"	0	0	0	0	0	138	60	74	298	0	0	0	46	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV253"	0	141	120	0	0	71	0	54	27	0	0	0	0	0	0	74	89	0	70	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV254"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	95	28	0	0	0	0	0	204	19	62	136	0	0	0	14	108	43
"ASV255"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	78	124	0	0	111	0	85	185	0
"ASV256"	0	0	145	64	0	0	0	0	0	0	0	370	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV257"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	100	40	0	0	152	0	29	0	0	0	0	0	0	0	0	129	110	0	0	0
"ASV258"	136	0	0	0	0	0	0	197	354	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV259"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	263	0	0	0	0	0	0	0	114	0	104	90	0	0	0	0
"ASV260"	0	34	0	0	0	0	0	165	0	0	0	0	0	34	260	0	53	52	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV261"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	92	0	0	193	0	0	224	62	0
"ASV262"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	94	0	67	0	85	30	0	0	0	0	170	50	0	101	0	0
"ASV263"	0	117	0	0	91	0	0	238	0	0	0	0	0	0	0	79	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV264"	0	0	0	242	0	0	0	0	220	0	77	0	74	1	0	0	0	50	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV265"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	211	134	0	86	140	54	0	0	0
"ASV266"	0	0	0	79	0	0	0	0	0	53	106	83	74	39	0	53	97	0	0	44	9	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
"ASV267"	0	23	0	265	0	0	0	0	0	0	0	0	73	0	0	111	0	0	114	41	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	10	0	0	0
"ASV268"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	130	0	0	96	57	204	54	0	0	0	0	0	0	84
"ASV269"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	30	0	0	27	0	0	0	0	0	70	67	0	23	0	79	0	0	0	0	0	0
"ASV270"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	20	49	0	0	0	0	0	187	0	157	173	0	0	0	22
"ASV271"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	80	170
"ASV272"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	152	0	0	0	0	0	0	0	56	129	0	0	0	0	0
"ASV273"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0	212
"ASV274"	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	60	0	0	21	0	0	0	0	117	0	0	0
"ASV275"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	190	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	41	57	0	0	0
"ASV276"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	42	0	0	0	122	0	0	8	15	0	7	8	23	0	0	265	39	34	0	49
"ASV277"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	37	0	0	0	0
"ASV278"	0	304	36	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV279"	0	0	0	0	0	0	0	99	28	0	22	0	0	0	171	42	37	41	118	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV280"	0	0	0	145	63	0	0	317	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV281"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	156	0	0	0	0	0	0	59	0	0	0
"ASV282"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	152	0	0	20	24	0	0	0	189	0	0	0	0	0	0	0	0	0	0
"ASV283"	132	0	0	0	0	0	0	0	86	0	90	0	97	0	0	124	0	0	35	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV284"	0	1	0	0	0	211	1	0	0	3	0	61	80	0	102	133	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV285"	0	0	21	0	0	0	118	103	0	0	0	0	3	0	0	18	94	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV286"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV287"	0	104	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV288"	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	170	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV289"	0	123	0	95	0	0	0	0	0	184	47	0	0	0	85	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV290"	0	0	51	0	53	0	52	54	0	0	232	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV291"	99	0	0	0	0	0	0	0	126	0	91	0	70	0	0	50	0	0	57	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV292"	0	0	0	0	86	125	0	0	0	0	108	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV293"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	20	133	0	0	0	0	0	0	0	0	0	0	174	0
"ASV294"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	86	0	0	0	89	0	0	0	0	84	0	0	122	62	17	0	0	0
"ASV295"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	318	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	94	0
"ASV296"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	42	0	0	91	53	0	35	0	0	35	0	156	96
"ASV297"	0	0	0	0	0	0	90	0	0	0	0	0	115	0	0	0	97	25	109	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	77	0	0	0
"ASV298"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	25	78	37	0	0	0	21	0	0	16	12	18	18	10	11	194	62	0	34	0
"ASV299"	0	102	0	0	0	0	0	0	97	0	147	0	0	0	98	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV300"	0	0	0	0	0	0	89	119	0	35	40	41	49	15	55	27	35	16	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV301"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	125	14	0	27	41	0	85	73	125	0	0	0
"ASV302"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	101	96	0	0	0	0	52	0	0	0	0	44	0	0	0	0
"ASV303"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	33	0	0	0	0	100	0	52	0	0	0	82	0	0	0	39
"ASV304"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	278	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	70	0	0
"ASV305"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	65	36	16	0	0	0	58	0	48	0	72	0	77	76	23	0	22	0
"ASV306"	0	0	0	0	60	0	133	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV307"	0	0	0	0	0	45	0	0	0	0	0	67	0	97	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV308"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	80	43	8	7	5	14	5	6	3	9	13	9	61	10	18	59	76	54	10
"ASV309"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	152	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0
"ASV310"	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV311"	0	0	0	117	102	0	0	0	0	0	0	0	0	166	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV312"	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	205	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV313"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	39	83	69	32	0	0	0	183	0	0	0
"ASV314"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	10	0	0	0	0	22	0	0	0	0	0	72	0	0	318	0
"ASV315"	0	50	0	0	0	0	0	0	0	0	197	0	0	0	153	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV316"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	141	0	149	0	0	0	0	0	0
"ASV317"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	182	0	0	0	0	0	0	64	0	0	88	67	0
"ASV318"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	93	0	0	0	77	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0
"ASV319"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	25	120	0	0	0	0	112	53	0	0	25	0	0	18	0	0
"ASV320"	0	0	0	178	0	99	0	0	0	0	53	0	0	0	0	0	0	72	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV321"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	40	0	0	116	0	0	0	249
"ASV322"	0	0	0	0	0	0	0	136	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	123
"ASV323"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	136	0	0	43	0	0	0	0	0	0	0	0	0	47	115	0	0
"ASV324"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	90	68	0	0	0	0
"ASV325"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	3	0	0	96	0	0	111	0	0	53	0	0	0	93	68	0	0	0
"ASV326"	0	0	0	1	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	14	77	0	0	0	0	0	0	0	40	0	56	102	0	0	0	0	101	0
"ASV327"	0	0	0	0	0	0	0	0	0	57	0	0	0	0	228	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV328"	0	0	0	0	0	0	0	0	217	0	0	0	0	62	0	98	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV329"	0	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV330"	0	0	0	0	0	0	0	0	0	0	0	72	0	0	21	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV331"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	192	0	0	87	20	0	106	0
"ASV332"	0	2	0	0	0	79	0	0	5	0	0	0	0	165	126	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
"ASV333"	0	0	0	0	0	64	0	0	0	0	0	0	96	0	0	108	82	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV334"	23	0	0	0	0	57	0	0	0	21	145	0	88	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV335"	0	0	0	0	0	0	0	0	93	0	0	0	14	0	0	0	0	201	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV336"	255	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV337"	0	40	0	0	0	0	0	2	0	50	95	0	4	70	0	22	50	0	0	39	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
"ASV338"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	37	70	0	0	0	0	0	0	0	0	0	58	0	25	0
"ASV339"	0	0	0	0	0	0	0	0	0	0	0	114	0	0	137	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV340"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404
"ASV341"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	52	0	0	0	42	0	97	0	0	35	0	0	0	0	0	0	0	0
"ASV342"	0	0	0	40	0	0	0	0	139	0	0	130	0	0	0	0	0	0	68	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV343"	0	91	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0
"ASV344"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	145	191
"ASV345"	0	2	106	0	0	0	0	0	0	2	103	0	36	1	75	14	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
